"segment_id","NI","SC_z","SN_index","P_z","I_index"
1,-0.881086701123906,-1.20706574938542,0.664449462153218,1.10229754620026,73.6567782932058
2,0.18184658756239,0.27742924211066,1,-0.475593078869057,77.3878716120496
3,2.64332008332753,1.08444117668306,0.512352714243156,-0.709440037512506,94.9421644876049
4,0.0382901710749904,-2.34569770262935,0.372680612474369,-0.501258060594761,86.4183103535977
5,1.38965116633257,0.42912468881105,0.518326953743586,-1.6290934690787,68.3034403396823
6,0.831650640564362,0.506055892157574,0.910958578591554,-1.16761926209419,78.602158593697
7,-1.42768783826238,-0.574739960134649,0.2695062979148,-2.18003964894867,60.5712426732404
8,-0.685383215173948,-0.546631855784187,0.820921979473118,-1.34099319210003,84.9262638861227
9,-0.0151794031015357,-0.564451999093283,0.812504253972119,-0.294293858763713,86.0722927158511
10,0.746743327009155,-0.890037829044104,0.59402401538484,-0.46589754040611,99.9655169750457
11,0.611650634711925,-0.477192699753547,0.521516424457231,1.44949626528713,79.3157347659373
12,-0.344780601143379,-0.998386444859704,0.419796877604486,-1.06864272367458,68.5559064702947
13,-1.4312050392675,-0.77625389463799,0.439364734767735,-0.855364633737507,75.098521273824
14,0.600294890950825,0.0644588172762693,0.662623044850693,-0.280623001957454,68.2200188330342
15,-0.976301766916327,0.959494058970771,0.975459589492808,-0.994340076295665,64.305417095735
16,-0.445203615676401,-0.110285494390774,0.486252349257267,-0.968514317872049,76.3205702850111
17,-1.29729006385256,-0.511009505806642,0.214045791725672,-1.10731819264177,63.4551980224384
18,-2.17224638004237,-0.911195416629811,0.360812009035766,-1.25198588563894,76.3350431906347
19,0.740198880110461,-0.83717168026894,0.576817587676928,-0.523828118987356,78.5951159582797
20,-0.11586808596553,2.41583517848934,0.450246994708536,-0.4968499572667,73.6695280858593
21,-0.54555325922916,0.134088220152031,0.480886209313855,-1.80603125680195,71.9291911135333
22,0.753805553155004,-0.490685896690943,0.482601303092001,-0.582075924689333,66.4462560055703
23,-0.486458805241562,-0.440547872353227,0.218093585107127,-1.10888962442678,60.8718165000753
24,0.117808271252994,0.459589441005854,0.481766822508913,-1.01496200949201,84.5762178521262
25,0.445754518814715,-0.693720246937475,0.707051096566815,-0.162309523556819,74.5705865655199
26,0.0281194476045024,-1.44820491038647,0.673473916567016,0.563055818994517,84.3568014694127
27,1.66201372936321,0.574755720900728,0.640999417240042,1.64781747281506,59.2441169987348
28,-0.151448962349922,-1.02365572296388,0.431398965401523,-0.773353423943695,76.3452196065707
29,0.527718099415383,-0.0151383003641817,0.477849370494735,1.6059096288573,82.4453123140669
30,-0.34317226390354,-0.935948601168394,0.257203866487447,-1.15780854769441,73.9820558449728
